selection_rank,strategy_group,strategy,method_prefix,checkpoint,selected_episode,selected_x_value,selected_win_rate,selected_csv,selected_role,opponent,test_case,metric,tested_win_rate,landlord_win_rate,farmer_win_rate,games,landlord_wins,farmer_wins,landlord_method,landlord_up_method,landlord_down_method
approx_doufeature_buffer_mcadv#3,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,200000.0,,0.642,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,landlord,landlord_win_rate,0.908,0.908,0.092,500,454,46,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,random,random
approx_doufeature_buffer_mcadv#3,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,200000.0,,0.642,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,farmer1,farmer_win_rate,0.89,0.11,0.89,500,55,445,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,random
approx_doufeature_buffer_mcadv#3,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,200000.0,,0.642,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,farmer2,farmer_win_rate,0.9,0.1,0.9,500,50,450,random,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl
approx_doufeature_buffer_mcadv#3,approx_doufeature_buffer_mcadv,mc_adv_buffer,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,200000.0,,0.642,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,landlord,random,two_farmer,farmer_win_rate,0.946,0.054,0.946,500,27,473,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl
approx_doufeature_td#1,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,650016.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,rlcard,landlord,landlord_win_rate,0.526,0.526,0.474,500,263,237,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,rlcard,rlcard
approx_doufeature_td#1,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,650016.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,rlcard,farmer1,farmer_win_rate,0.548,0.452,0.548,500,226,274,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,rlcard
approx_doufeature_td#1,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,650016.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,rlcard,farmer2,farmer_win_rate,0.352,0.648,0.352,500,324,176,rlcard,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl
approx_doufeature_td#1,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,650016.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,rlcard,two_farmer,farmer_win_rate,0.296,0.704,0.296,500,352,148,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl
approx_doufeature_td#1,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,650016.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,random,landlord,landlord_win_rate,0.902,0.902,0.098,500,451,49,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,random,random
approx_doufeature_td#1,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,650016.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,random,farmer1,farmer_win_rate,0.848,0.152,0.848,500,76,424,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,random
approx_doufeature_td#1,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,650016.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,random,farmer2,farmer_win_rate,0.806,0.194,0.806,500,97,403,random,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl
approx_doufeature_td#1,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,650016.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,random,two_farmer,farmer_win_rate,0.908,0.092,0.908,500,46,454,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl
approx_doufeature_td#2,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,500000.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,rlcard,landlord,landlord_win_rate,0.596,0.596,0.404,500,298,202,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,rlcard,rlcard
approx_doufeature_td#2,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,500000.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,rlcard,farmer1,farmer_win_rate,0.574,0.426,0.574,500,213,287,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,rlcard
approx_doufeature_td#2,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,500000.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,rlcard,farmer2,farmer_win_rate,0.408,0.592,0.408,500,296,204,rlcard,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl
approx_doufeature_td#2,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,500000.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,rlcard,two_farmer,farmer_win_rate,0.39,0.61,0.39,500,305,195,rlcard,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl
approx_doufeature_td#2,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,500000.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,random,landlord,landlord_win_rate,0.856,0.856,0.144,500,428,72,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,random,random
approx_doufeature_td#2,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,500000.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,random,farmer1,farmer_win_rate,0.858,0.142,0.858,500,71,429,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,random
approx_doufeature_td#2,approx_doufeature_td,td_1m,approx_doufeature,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,500000.0,,0.619,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,landlord,random,farmer2,farmer_win_rate,0.826,0.174,0.826,500,87,413,random,random,approx_doufeature:/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl
