index,feature,category
292,farmer_landlord_left_le_1,farmer_role_specialized
293,farmer_landlord_left_le_2,farmer_role_specialized
294,farmer_landlord_left_le_3,farmer_role_specialized
295,farmer_teammate_left_le_1,farmer_role_specialized
296,farmer_teammate_left_le_2,farmer_role_specialized
297,farmer_teammate_left_le_3,farmer_role_specialized
298,farmer_teammate_about_to_win,farmer_role_specialized
299,farmer_landlord_about_to_win,farmer_role_specialized
300,farmer_pass_to_teammate,farmer_role_specialized
301,farmer_pass_to_landlord,farmer_role_specialized
302,farmer_action_blocks_teammate,farmer_role_specialized
303,farmer_action_blocks_landlord,farmer_role_specialized
304,farmer_save_control_for_landlord,farmer_role_specialized
305,farmer_control_advantage,farmer_role_specialized
306,up_before_landlord_action_is_pass,farmer_role_specialized
307,up_before_landlord_action_is_control,farmer_role_specialized
308,up_should_block_landlord,farmer_role_specialized
309,down_after_landlord_action_is_pass,farmer_role_specialized
310,down_follow_landlord_pressure,farmer_role_specialized
311,down_should_take_lead_from_landlord,farmer_role_specialized
