version,lr_label,alpha,run,feature,category,rows,updates,abs_delta_w_sum,sign_flips,flips_per_1k_updates,abs_delta_w_per_update,relative_jitter,mean_abs_contribution,mean_avg_abs_td_x_feature,mean_activation_rate,instability_score,importance_score
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,teammate_cards_left,cards_left,60,2319259.0,19300.28320651386,45243.0,19.507523739263274,0.008321745525839874,0.999999761727103,0.04797117924322979,0.14068322929607144,0.6666666666666666,26.124752638816215,0.18865440853930124
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,last_move_max_rank,old_rank_last_move,60,2319259.0,20248.49847492509,65679.0,28.318958770883285,0.00873058958698666,0.9999954424828715,0.04061856994769704,0.14615528406169964,0.7055836355437951,30.05812752016869,0.18677385400939667
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,min_enemy_cards_left,cards_left,60,2319259.0,15401.963971308314,15679.0,6.760348887295468,0.006640898653970218,0.9999960761860819,0.06924532557367655,0.11088332527891478,1.0,19.344998970749224,0.18012865085259133
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,landlord_cards_left,cards_left,60,2319259.0,15592.558131932006,22034.0,9.500448203499479,0.006723077557069739,0.9999820546667483,0.0639053031137993,0.11221573151057522,1.0,20.523077385137015,0.1761210346243745
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,last_move_min_rank,old_rank_last_move,60,2319259.0,18630.131554600244,64660.0,27.879594301455768,0.008032794765310922,0.9999953716946818,0.038463808906803,0.1344378182907106,0.6733377390934544,29.18458620284005,0.17290162719751362
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,unseen_low_cards_ratio,rank_summary,60,2319259.0,14724.580955262622,16084.0,6.93497362735253,0.006348829930276274,0.9999778262174464,0.061052980608211994,0.10569072485981054,0.9744539958497561,19.12259764339175,0.16674370546802253
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,unseen_group_low_3_to_7,new_grouped_rank_summary,60,2319259.0,14724.580955262622,16084.0,6.93497362735253,0.006348829930276274,0.9999778262174464,0.061052980608211994,0.10569072485981054,0.9744539958497561,19.12259764339175,0.16674370546802253
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,position_landlord_down,position_identity,60,2319259.0,18334.347791387412,56231.0,24.245243847280534,0.007905261030090822,0.9999942271150504,0.032686310323576134,0.13254926477305776,0.3333333333333333,27.60330084015354,0.1652355750966339
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,hand_singles,hand_structure,60,2319259.0,12457.988500394627,16315.0,7.0345744050147045,0.00537153828028462,0.9999997303134958,0.07407849110353158,0.09006035530687573,0.9730024494717804,18.18536534542546,0.16413884641040732
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,position_landlord_up,position_identity,60,2319259.0,17673.355450230254,53573.0,23.099188145869004,0.007620259509709892,0.9999916505088685,0.03164908656229575,0.12995341053735834,0.3333333333333333,26.85985127314618,0.1616024970996541
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,enemy_danger,other_compact_base,60,2319259.0,19098.121183521096,51975.0,22.410174973989538,0.008234578882100316,0.9999942892413342,0.023213288819212124,0.13767383259534388,0.21083624451099664,27.198591764109473,0.160887121414556
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,farmer_landlord_left_le_3,farmer_role_specialized,60,2319259.0,16522.796424819764,31821.0,13.72033050211296,0.007124170446172576,0.9999782568896168,0.03249477676309965,0.12043705330342594,0.1883021354667565,22.61208521591393,0.15293183006652558
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,action_type_1,action_context,60,2319259.0,15598.1742617866,38448.0,16.577708656083686,0.006725499076121555,0.9999946901470659,0.03718744345768806,0.11208536534653084,0.26176872666062007,23.35652944002569,0.1492728088042189
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,unseen_jokers_ratio,rank_summary,60,2319259.0,14595.551849617128,41488.0,17.88847213700583,0.006293196167231486,0.9999915441103515,0.036088838185679796,0.10529674450645816,0.527530560747842,23.448500463137332,0.14138558269213797
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,unseen_group_joker,new_grouped_rank_summary,60,2319259.0,14595.551849617128,41488.0,17.88847213700583,0.006293196167231486,0.9999915441103515,0.036088838185679796,0.10529674450645816,0.527530560747842,23.448500463137332,0.14138558269213797
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,unseen_mid_cards_ratio,rank_summary,60,2319259.0,15167.47143395582,55051.0,23.736460654027862,0.006539791991302317,0.9999948329697552,0.03202675770629854,0.10917532435428222,0.968708818933401,26.034324582611013,0.14120208206058077
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,unseen_group_mid_8_to_k,new_grouped_rank_summary,60,2319259.0,15167.47143395582,55051.0,23.736460654027862,0.006539791991302317,0.9999948329697552,0.03202675770629854,0.10917532435428222,0.968708818933401,26.034324582611013,0.14120208206058077
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,next_le_two,other_compact_base,60,2319259.0,13487.121863612116,15471.0,6.6706650701797425,0.00581527197420043,0.9999912174185369,0.037862371275974145,0.09653766770348593,0.16456496001445686,18.483450176457694,0.13440003897946007
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,unseen_high_cards_ratio,rank_summary,60,2319259.0,14850.642631548957,64698.0,27.895978844967292,0.006403184220282839,0.9999907185830366,0.022226930334901817,0.10699979729995572,0.8373850384410514,27.56148294410012,0.12922672763485754
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,unseen_group_ace_2,new_grouped_rank_summary,60,2319259.0,14850.642631548957,64698.0,27.895978844967292,0.006403184220282839,0.9999907185830366,0.022226930334901817,0.10699979729995572,0.8373850384410514,27.56148294410012,0.12922672763485754
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,unseen_group_control_a_2_joker,new_grouped_rank_summary,60,2319259.0,14799.576752502897,73658.0,31.75928173610623,0.006381166032988509,0.9999908814404461,0.019835897616612683,0.10665918823254274,0.8747904205753759,29.084787541835468,0.12649508584915542
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,action_min_rank,action_context,60,2319259.0,11970.447356767905,17826.0,7.686075595696728,0.005161324093931685,0.9999836261862689,0.040123968065536336,0.08594127109148504,0.40228267540037504,18.235590594073066,0.1260652391570214
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,position_landlord,position_identity,60,2319259.0,14193.798439970167,43322.0,18.67924194753583,0.006119971266671884,0.9999931295330895,0.024914554754892983,0.09921554839539952,0.3333333333333333,23.59159934101711,0.1241301031502925
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,farmer_save_control_for_landlord,farmer_role_specialized,60,2319259.0,12453.854978143969,13113.0,5.653961028069741,0.005369756020411678,0.9999403549740724,0.03210900902136899,0.09078167098523011,0.12881053712673743,17.6307439813803,0.12289068000659911
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,last_move_is_pass,old_rank_last_move,60,2319259.0,13832.854604614598,67331.0,29.03125524143703,0.005964342319945551,0.999992736923487,0.019838652560891998,0.09935690395157568,0.26675017697985226,27.576771785755234,0.11919555651246767
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,last_player_self,last_move_context,60,2319259.0,13832.854604614598,67331.0,29.03125524143703,0.005964342319945551,0.999992736923487,0.019838652560891998,0.09935690395157568,0.26675017697985226,27.576771785755234,0.11919555651246767
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,leading_round,last_move_context,60,2319259.0,13832.854604614598,67331.0,29.03125524143703,0.005964342319945551,0.999992736923487,0.019838652560891998,0.09935690395157568,0.26675017697985226,27.576771785755234,0.11919555651246767
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,farmer_landlord_about_to_win,farmer_role_specialized,60,2319259.0,13952.11338608717,43813.0,18.890947496592663,0.006015763390844735,0.9999815027497345,0.014045049521333517,0.10170278045170092,0.14926576090281912,23.571957416979146,0.11574782997303444
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,farmer_landlord_left_le_2,farmer_role_specialized,60,2319259.0,13952.11338608717,43813.0,18.890947496592663,0.006015763390844735,0.9999815027497345,0.014045049521333517,0.10170278045170092,0.14926576090281912,23.571957416979146,0.11574782997303444
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,last_player_teammate,last_move_context,60,2319259.0,11377.243780217777,40176.0,17.322774213660484,0.004905551204163821,0.999978177311321,0.022108722731143338,0.08307800855822124,0.2281089615175609,21.834442662741225,0.10518673128936458
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,my_control_advantage_over_unseen,control_bomb,60,2319259.0,10924.737480045735,37436.0,16.141362392039873,0.004710443068258325,0.9999728988856013,0.02090322409551876,0.07877850239289226,0.8362436482586266,21.16671701393029,0.09968172648841102
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,farmer_pass_to_landlord,farmer_role_specialized,60,2319259.0,11147.325136470365,43688.0,18.83705097188369,0.004806416677253539,0.9999876257010298,0.01822931952057116,0.08123043401215856,0.2031035485498127,22.34111332301731,0.09945975353272972
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,hand_pairs,hand_structure,60,2319259.0,6234.289810866145,5769.0,2.4874324083683623,0.002688052438673794,0.999915903270234,0.05150833839666499,0.0450559608081095,0.7719574914802401,13.682184434723482,0.0965642992047745
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,my_low_cards_ratio,other_compact_base,60,2319259.0,8344.248719780779,13818.0,5.957937427428329,0.003597808058427618,0.9999654431883143,0.03200626057134656,0.06044304589789639,0.8417777066391208,15.980637461282093,0.09244930646924296
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,my_group_low_3_to_7,other_compact_base,60,2319259.0,8344.248719780779,13818.0,5.957937427428329,0.003597808058427618,0.9999654431883143,0.03200626057134656,0.06044304589789639,0.8417777066391208,15.980637461282093,0.09244930646924296
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,farmer_pass_to_teammate,farmer_role_specialized,60,2319259.0,9229.336834455258,29819.0,12.857123762374103,0.003979433445964965,0.9999882750007368,0.022431298922029327,0.06739124173498165,0.18942603002942512,19.122165700921975,0.08982254065701098
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,last_move_action_same_type,old_rank_last_move,60,2319259.0,9623.902721434437,27061.0,11.667950841195399,0.004149559286580083,0.9999080318538953,0.02014061312672509,0.06909437951596407,0.1647160570065411,18.815819941597194,0.08923499264268916
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,farmer_teammate_left_le_3,farmer_role_specialized,60,2319259.0,9485.739323309783,17427.0,7.5140378888256985,0.004089987070572878,0.9999546594331752,0.01938199710174113,0.06920262627232864,0.09460188366968217,17.095148820434908,0.08858462337406976
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,action_over_last_rank_gap,action_context,60,2319259.0,8579.476260378327,13192.0,5.68802363168581,0.0036992316340599854,0.9999982539460404,0.025622117841917428,0.06155016541223593,0.41657582789755465,15.974423626194715,0.08717228325415335
