version,lr_label,alpha,run,category,rows,updates,abs_delta_w_sum,sign_flips,flips_per_1k_updates,abs_delta_w_per_update,relative_jitter,mean_abs_contribution,mean_avg_abs_td_x_feature,mean_activation_rate
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,new_grouped_rank_summary,840,29603378.0,14161.293877637174,68641.0,2.3186880902578078,0.0004783674983860684,0.9997187580434244,0.027260650077248674,0.07974296128417228,0.6344464889919618
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,action_context,1080,38061486.0,13379.192729687513,83367.0,2.1903243609563745,0.0003515152490285722,0.99978141323246,0.01564753756522494,0.05856433085190232,0.3090517243594137
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,rank_summary,480,16916216.0,11158.62418779031,47389.0,2.8013948273065323,0.0006596406777845772,0.999993384295469,0.040658804760603316,0.10996661368440477,0.8279243666108179
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,farmer_role_specialized,1200,42290540.0,8825.126341337513,23941.0,0.5661076921694544,0.00020867849739770436,0.999895076574753,0.009758929774179454,0.03531977513108774,0.11576377996581581
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,cards_left,480,16916216.0,8732.215240804555,12936.0,0.7647100273489059,0.0005162038153689073,0.9998417915832281,0.067758385150382,0.08620988483353706,0.9554010951322017
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,position_identity,300,10572635.0,8562.33946824879,20427.0,1.9320632935876438,0.0008098586084026158,0.9999580470143226,0.037577287612172466,0.1355467119370354,0.5333333333333333
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,other_compact_base,1260,44405067.0,6820.545025982251,2261.0,0.050917612622901794,0.00015359835007077574,0.9988791472431522,0.02093873580276851,0.02562958416950402,0.3369694082865
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,old_rank_last_move,480,16916216.0,6576.764738511849,49236.0,2.9105800020524684,0.0003887846276325538,0.9997193543623025,0.019114300540986975,0.06479583904293675,0.46372084658463414
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,last_move_context,240,8458108.0,4004.9864597894243,20800.0,2.45917881398535,0.0004735085505871318,0.9999407148082361,0.014520469999327625,0.07891707600340556,0.3090727699824766
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,control_bomb,600,21145270.0,3480.282947747009,1472.0,0.069613677195893,0.00016458919407257553,0.9997487908024113,0.017240952790964523,0.027435087917201516,0.3737422492384408
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,hand_structure,360,12687162.0,2164.906292762236,519.0,0.040907493732640916,0.00017063755414821973,0.998618544612756,0.0505270681465506,0.02852034085190589,0.6304615696772423
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,landlord_specialized,540,19030743.0,2044.8238468179159,979.0,0.051443078181445674,0.00010744845047920177,0.9999967084784407,0.010138921181195068,0.017375330553866634,0.06281314044375393
